global_step=9880, episodic_return=[-75.552734]
global_step=9920, episodic_return=[-34.77326]
global_step=9945, episodic_return=[-122.83536]
global_step=9990, episodic_return=[-6.154565]
global_step=10010, episodic_return=[-55.840836]
global_step=10100, episodic_return=[-22.466316]
global_step=10145, episodic_return=[-1144.8694]
SPS: 482
global_step=10275, episodic_return=[-58.528336]
global_step=10280, episodic_return=[-31.596275]
global_step=10385, episodic_return=[-26.860363]
global_step=10450, episodic_return=[-102.98031]
global_step=10465, episodic_return=[-14.736714]
global_step=10600, episodic_return=[-10.953529]
global_step=10610, episodic_return=[-36.443043]
global_step=10620, episodic_return=[-20.128544]
global_step=10675, episodic_return=[-8.988621]
global_step=10685, episodic_return=[-22.473734]
global_step=10800, episodic_return=[-48.09428]
global_step=10875, episodic_return=[-51.530457]
global_step=10885, episodic_return=[-52.1597]
global_step=10900, episodic_return=[-27.412613]
global_step=11000, episodic_return=[-23.16931]
global_step=11320, episodic_return=[-91.92689]
global_step=11345, episodic_return=[-89.69992]
global_step=11345, episodic_return=[-98.27059]
global_step=11800, episodic_return=[-113.035034]
global_step=11890, episodic_return=[-140.21666]
global_step=12010, episodic_return=[-17.933054]
global_step=12050, episodic_return=[-46.224815]
global_step=12215, episodic_return=[-63.04506]
global_step=12215, episodic_return=[-52.17142]
global_step=12315, episodic_return=[-21.15189]
global_step=12340, episodic_return=[-7.258899]
global_step=12400, episodic_return=[-0.254865]
global_step=12485, episodic_return=[-14.767698]
global_step=12720, episodic_return=[-39.680325]
global_step=13240, episodic_return=[-106.68901]
global_step=13400, episodic_return=[-62.30575]
global_step=13960, episodic_return=[-116.430275]
global_step=14090, episodic_return=[-28.332733]
global_step=14470, episodic_return=[-106.930046]
global_step=14600, episodic_return=[-38.276505]
global_step=14695, episodic_return=[-17.77523]
global_step=14945, episodic_return=[-1127.187]
global_step=15010, episodic_return=[-1073.6865]
global_step=15045, episodic_return=[-18.654682]
global_step=15135, episodic_return=[-53.785797]
global_step=15210, episodic_return=[-8.250912]
global_step=15390, episodic_return=[-1.5401835]
global_step=15465, episodic_return=[-58.851852]
global_step=15660, episodic_return=[-87.24932]
global_step=15730, episodic_return=[-7.5482316]
global_step=15850, episodic_return=[-115.65211]
global_step=15925, episodic_return=[-20.02565]
global_step=16040, episodic_return=[-41.222805]
global_step=16060, episodic_return=[-114.58922]
global_step=16320, episodic_return=[-1080.4249]
global_step=16425, episodic_return=[-60.29111]
global_step=16480, episodic_return=[-82.73324]
global_step=16505, episodic_return=[-171.53766]
global_step=16615, episodic_return=[-78.71737]
global_step=16665, episodic_return=[-67.631035]
global_step=16675, episodic_return=[-17.278826]
global_step=16785, episodic_return=[-27.06366]
global_step=16830, episodic_return=[-6.3883157]
global_step=16850, episodic_return=[-21.260681]
global_step=16915, episodic_return=[-18.076883]
global_step=16955, episodic_return=[-13.670577]
global_step=17110, episodic_return=[-35.004745]
global_step=17150, episodic_return=[-39.2661]
global_step=17150, episodic_return=[-137.65225]
global_step=17310, episodic_return=[-14.162248]
global_step=17340, episodic_return=[-1100.8815]
global_step=17355, episodic_return=[-59.586147]
global_step=17385, episodic_return=[-11.741993]
global_step=17650, episodic_return=[-65.83605]
global_step=17745, episodic_return=[-65.39155]
global_step=17745, episodic_return=[-3.4364479]
global_step=17765, episodic_return=[-121.41072]
global_step=17815, episodic_return=[-14.382829]
global_step=17835, episodic_return=[-14.816323]
global_step=17915, episodic_return=[-28.51038]
global_step=17995, episodic_return=[-14.904847]
global_step=18175, episodic_return=[-123.502625]
global_step=18195, episodic_return=[-61.533524]
global_step=18205, episodic_return=[-95.80443]
global_step=18375, episodic_return=[-7.389491]
global_step=18415, episodic_return=[-33.91063]
global_step=18550, episodic_return=[-18.009937]
global_step=18705, episodic_return=[-39.384613]
global_step=18710, episodic_return=[-165.44049]
global_step=18750, episodic_return=[-79.31676]
global_step=18850, episodic_return=[-42.285027]
global_step=19025, episodic_return=[-43.12508]
global_step=19080, episodic_return=[-91.84416]
global_step=19135, episodic_return=[-9.888048]
global_step=19440, episodic_return=[-125.74046]
global_step=19615, episodic_return=[-13.538438]
global_step=19640, episodic_return=[-149.5366]
global_step=19780, episodic_return=[-58.148632]
global_step=19790, episodic_return=[-29.226679]
global_step=19860, episodic_return=[-15.396628]
global_step=20140, episodic_return=[-70.76789]
global_step=20285, episodic_return=[-29.476868]
global_step=20455, episodic_return=[-23.993452]
SPS: 486
global_step=20915, episodic_return=[-95.53182]
global_step=21395, episodic_return=[-90.60236]
global_step=21480, episodic_return=[-23.018147]
global_step=21800, episodic_return=[-83.08106]
global_step=22150, episodic_return=[-1080.787]
global_step=22150, episodic_return=[-994.4063]
global_step=22305, episodic_return=[-47.99277]
global_step=22315, episodic_return=[-142.963]
global_step=22510, episodic_return=[-44.304142]
global_step=22530, episodic_return=[-65.83431]
global_step=22740, episodic_return=[-37.209557]
global_step=22825, episodic_return=[-16.991776]
global_step=23020, episodic_return=[-49.235973]
global_step=23170, episodic_return=[-37.84702]
global_step=23605, episodic_return=[-29.360754]
global_step=23790, episodic_return=[-46.29744]
global_step=23970, episodic_return=[-39.735485]
global_step=24025, episodic_return=[-1085.5481]
global_step=24085, episodic_return=[-15.0376425]
global_step=24185, episodic_return=[-27.836771]
global_step=24195, episodic_return=[-2.6165013]
global_step=24410, episodic_return=[-24.939526]
global_step=24505, episodic_return=[-89.39977]
global_step=24550, episodic_return=[-32.241753]
global_step=24630, episodic_return=[-14.699839]
global_step=24860, episodic_return=[-1047.155]
global_step=24950, episodic_return=[-110.27002]
global_step=25065, episodic_return=[-63.079777]
global_step=25135, episodic_return=[-54.0097]
global_step=25175, episodic_return=[-13.429933]
global_step=25350, episodic_return=[-41.982265]
global_step=25425, episodic_return=[-19.727644]
global_step=25530, episodic_return=[-16.006166]
global_step=25650, episodic_return=[-14.554113]
global_step=27305, episodic_return=[-1095.1141]
global_step=27740, episodic_return=[-1015.91595]
global_step=27800, episodic_return=[-19.475166]
global_step=28200, episodic_return=[-51.599895]
global_step=28405, episodic_return=[-34.07423]
global_step=28660, episodic_return=[-68.028534]
global_step=29580, episodic_return=[-440.1035]
global_step=29950, episodic_return=[-1068.1403]
global_step=30065, episodic_return=[-12.930341]
global_step=30175, episodic_return=[-1051.8004]
global_step=30260, episodic_return=[-193.70273]
global_step=30265, episodic_return=[-22.621277]
global_step=30305, episodic_return=[-71.56593]
global_step=30470, episodic_return=[-25.259981]
global_step=30545, episodic_return=[-13.152335]
global_step=30550, episodic_return=[-18.974241]
global_step=30650, episodic_return=[-1060.1202]
SPS: 485
global_step=30775, episodic_return=[-4.6392603]
global_step=30800, episodic_return=[-117.1826]
global_step=30880, episodic_return=[-1.2497796]
global_step=30890, episodic_return=[-80.085556]
global_step=30985, episodic_return=[-17.26311]
global_step=31090, episodic_return=[-54.98184]
global_step=31120, episodic_return=[-12.174966]
global_step=31220, episodic_return=[-94.2282]
global_step=31270, episodic_return=[-55.30436]
global_step=31280, episodic_return=[-36.29305]
global_step=31385, episodic_return=[-10.126123]
global_step=31465, episodic_return=[-29.75434]
global_step=31480, episodic_return=[-34.591717]
global_step=31620, episodic_return=[-25.186142]
global_step=31675, episodic_return=[-23.604383]
global_step=31810, episodic_return=[-179.97644]
global_step=31900, episodic_return=[-71.23103]
global_step=31950, episodic_return=[-93.1188]
global_step=32025, episodic_return=[-21.932564]
