global_step=2320, episodic_return=[116.85255]
global_step=2370, episodic_return=[145.82628]
global_step=2375, episodic_return=[91.85446]
global_step=2380, episodic_return=[131.10449]
global_step=2405, episodic_return=[81.324646]
global_step=2475, episodic_return=[91.77094]
global_step=2475, episodic_return=[189.99136]
global_step=2500, episodic_return=[92.75478]
global_step=2520, episodic_return=[148.33568]
global_step=2565, episodic_return=[180.93161]
global_step=2575, episodic_return=[95.572945]
global_step=2640, episodic_return=[157.03322]
global_step=2640, episodic_return=[118.8608]
global_step=2645, episodic_return=[140.13632]
global_step=2650, episodic_return=[81.57142]
global_step=2710, episodic_return=[135.40425]
global_step=2730, episodic_return=[87.30453]
global_step=2735, episodic_return=[81.26407]
global_step=2740, episodic_return=[92.04234]
global_step=2765, episodic_return=[125.777336]
global_step=2800, episodic_return=[86.97575]
global_step=2820, episodic_return=[87.28395]
global_step=2820, episodic_return=[76.8268]
global_step=2835, episodic_return=[99.11919]
global_step=2895, episodic_return=[92.901115]
global_step=2905, episodic_return=[136.10246]
global_step=2920, episodic_return=[97.33693]
global_step=2925, episodic_return=[101.60676]
global_step=2965, episodic_return=[125.89395]
global_step=3005, episodic_return=[81.22605]
global_step=3020, episodic_return=[111.43863]
global_step=3055, episodic_return=[163.23369]
global_step=3070, episodic_return=[105.82649]
global_step=3090, episodic_return=[165.26712]
global_step=3100, episodic_return=[76.22843]
global_step=3115, episodic_return=[112.80793]
global_step=3165, episodic_return=[100.21093]
global_step=3175, episodic_return=[81.086205]
global_step=3200, episodic_return=[133.2454]
global_step=3235, episodic_return=[136.99298]
global_step=3265, episodic_return=[151.03717]
global_step=3265, episodic_return=[87.88284]
global_step=3310, episodic_return=[104.06773]
global_step=3355, episodic_return=[191.35368]
global_step=3360, episodic_return=[92.87756]
global_step=3370, episodic_return=[135.548]
global_step=3395, episodic_return=[81.62702]
global_step=3415, episodic_return=[149.54257]
global_step=3445, episodic_return=[81.67473]
global_step=3470, episodic_return=[115.60499]
global_step=3495, episodic_return=[124.76656]
global_step=3505, episodic_return=[111.23929]
global_step=3520, episodic_return=[99.3315]
global_step=3545, episodic_return=[99.85097]
global_step=3555, episodic_return=[82.21367]
global_step=3585, episodic_return=[87.24094]
global_step=3600, episodic_return=[94.24492]
global_step=3610, episodic_return=[85.35859]
global_step=3650, episodic_return=[93.21194]
global_step=3685, episodic_return=[81.010735]
global_step=3700, episodic_return=[157.739]
global_step=3715, episodic_return=[103.03414]
global_step=3730, episodic_return=[76.54711]
global_step=3770, episodic_return=[81.29818]
global_step=3790, episodic_return=[86.66369]
global_step=3805, episodic_return=[235.50787]
global_step=3815, episodic_return=[97.47853]
global_step=3830, episodic_return=[98.38591]
global_step=3890, episodic_return=[81.61376]
global_step=3895, episodic_return=[122.17394]
global_step=3905, episodic_return=[111.80828]
global_step=3930, episodic_return=[99.13852]
global_step=3930, episodic_return=[115.08279]
global_step=3985, episodic_return=[76.52632]
global_step=3985, episodic_return=[86.2069]
global_step=4010, episodic_return=[117.63039]
global_step=4025, episodic_return=[93.720764]
global_step=4065, episodic_return=[76.65414]
global_step=4075, episodic_return=[134.23576]
global_step=4105, episodic_return=[92.06451]
global_step=4120, episodic_return=[91.01959]
global_step=4145, episodic_return=[156.97679]
global_step=4155, episodic_return=[86.05595]
global_step=4155, episodic_return=[76.76298]
global_step=4190, episodic_return=[81.117035]
global_step=4230, episodic_return=[109.455864]
global_step=4235, episodic_return=[86.40132]
global_step=4240, episodic_return=[81.213684]
global_step=4280, episodic_return=[85.78536]
global_step=4295, episodic_return=[142.42615]
global_step=4315, episodic_return=[76.721245]
global_step=4340, episodic_return=[107.97796]
global_step=4370, episodic_return=[86.93639]
global_step=4375, episodic_return=[126.71857]
global_step=4400, episodic_return=[81.3703]
global_step=4415, episodic_return=[113.567604]
global_step=4455, episodic_return=[81.073494]
global_step=4480, episodic_return=[130.7996]
global_step=4490, episodic_return=[111.133095]
global_step=4545, episodic_return=[133.95757]
global_step=4565, episodic_return=[81.46848]
global_step=4565, episodic_return=[140.80061]
global_step=4575, episodic_return=[81.32979]
global_step=4585, episodic_return=[132.07101]
global_step=4650, episodic_return=[81.02912]
global_step=4660, episodic_return=[81.39626]
global_step=4660, episodic_return=[112.3844]
global_step=4675, episodic_return=[87.20178]
global_step=4735, episodic_return=[81.11893]
global_step=4745, episodic_return=[168.97746]
